SeniorCity,Partner,Dependents,Service1,Service2,Security,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,InternetService,AutoPayment_flag,Charges,Contract_months,PaymentMethod_simple,Demand,Class_flag
0,0,0,1,0,1,0,1,1,0,1,1,57.95,12,Automatic,3042.25,0
0,0,0,1,0,0,1,1,0,1,1,0,91.65,1,Electronic check,3954.1,0
1,1,0,1,1,0,0,0,0,1,1,0,76.5,1,Electronic check,2868.15,1
0,1,1,0,0,0,1,0,1,1,1,0,54.6,24,Electronic check,3423.5,0
0,1,1,1,0,1,1,0,0,0,1,0,89.85,1,Electronic check,248.4,0
0,0,0,0,0,1,0,0,0,0,1,1,31.05,24,Automatic,1126.35,0
0,1,1,1,1,1,0,0,0,1,1,0,100.25,1,Electronic check,1064.65,1
0,0,0,1,0,0,0,0,0,0,0,0,20.65,24,Mailed check,835.15,0
0,1,1,1,1,0,1,0,1,1,1,1,85.2,1,Automatic,2151.6,0
0,1,1,1,1,0,0,1,0,1,1,1,99.8,12,Automatic,5515.45,0
0,0,0,1,0,0,0,0,0,0,0,0,20.7,1,Mailed check,112.75,0
0,0,0,1,1,0,0,0,0,1,1,0,74.4,1,Electronic check,229.55,1
0,1,1,1,0,1,0,0,0,0,1,0,50.7,1,Mailed check,350.35,0
0,1,1,1,0,0,0,0,0,0,0,0,20.85,1,Mailed check,62.9,0
0,0,0,1,0,1,0,0,1,1,1,0,88.95,24,Electronic check,3027.65,0
1,0,0,1,1,0,0,1,0,1,1,0,78.05,1,Electronic check,2135.5,1
0,1,0,1,1,0,0,0,0,1,0,1,23.55,24,Automatic,1723.95,0
0,0,0,1,0,0,0,0,0,0,0,0,19.75,1,Mailed check,19.75,0
1,0,0,0,0,1,1,0,0,1,1,0,56.45,12,Electronic check,3985.35,0
0,0,0,1,1,0,0,0,0,1,1,0,85.95,1,Electronic check,1215.65,0
0,1,1,0,0,1,1,1,0,1,1,1,58.6,1,Automatic,1502.65,1
0,0,0,1,0,0,0,0,1,0,1,1,50.55,24,Automatic,3260.1,0
0,0,0,0,0,0,0,0,0,1,1,0,35.45,1,Electronic check,35.45,1
0,0,0,1,0,0,0,0,0,0,1,0,44.35,1,Electronic check,81.25,1
0,0,0,1,1,0,0,0,0,1,0,1,25.7,24,Automatic,1188.2,0
0,0,0,1,0,1,0,0,0,1,1,1,75.0,1,Automatic,1778.5,0
0,1,1,1,0,0,0,0,0,0,0,0,20.2,24,Mailed check,1277.75,0
0,0,1,1,0,0,0,0,0,1,0,0,19.6,24,Mailed check,1170.55,0
1,1,0,1,0,0,0,0,0,1,1,0,70.45,1,Mailed check,70.45,1
1,1,1,1,1,1,1,1,1,1,1,1,88.05,24,Automatic,6425.65,0
0,0,0,1,1,1,0,0,1,0,1,0,71.15,1,Electronic check,563.65,1
0,1,0,1,1,0,1,0,0,1,1,1,101.05,24,Automatic,5971.25,0
0,0,0,1,1,1,1,0,0,1,1,1,84.3,12,Automatic,5289.05,0
1,1,0,1,1,0,0,0,0,0,0,1,23.95,24,Automatic,1756.2,0
0,1,1,1,1,1,1,0,1,1,1,1,99.05,24,Automatic,6416.7,0
0,0,0,1,0,0,0,0,0,0,0,0,19.6,12,Mailed check,61.35,0
0,0,0,1,0,0,0,0,0,1,1,0,45.65,1,Electronic check,45.65,1
0,0,1,1,0,0,1,1,0,0,1,1,64.5,12,Automatic,1929.95,0
0,1,1,1,0,0,1,1,1,1,1,0,69.5,1,Mailed check,1071.4,0
0,1,1,1,0,0,0,0,1,1,1,0,68.55,1,Electronic check,564.35,0
0,0,0,1,1,0,0,0,0,0,1,0,95.0,1,Mailed check,655.5,1
0,1,1,1,1,1,1,1,0,1,1,1,108.15,12,Automatic,7930.55,0
0,1,1,1,0,1,1,1,1,0,1,0,86.1,24,Electronic check,5215.25,0
0,1,1,1,0,0,0,0,0,0,0,0,19.7,1,Mailed check,113.5,0
0,1,1,1,0,0,0,0,0,1,1,1,80.9,1,Automatic,1152.8,0
0,0,0,1,1,0,0,0,0,1,1,1,84.15,1,Automatic,1821.95,0
0,1,1,1,0,0,0,0,0,0,0,0,20.15,12,Mailed check,419.9,0
0,1,1,1,0,1,0,1,0,0,1,0,64.25,24,Mailed check,1024.0,0
0,0,0,1,1,0,0,0,0,0,0,1,25.7,24,Automatic,251.6,0
0,0,1,1,0,1,1,0,0,1,1,0,56.0,1,Electronic check,764.55,0
0,1,0,1,1,1,0,0,0,0,1,0,82.4,1,Electronic check,1592.35,1
0,0,0,1,0,0,0,0,0,1,1,0,69.7,1,Electronic check,135.2,0
0,0,0,1,1,0,1,1,1,1,1,1,73.9,24,Automatic,3958.25,0
0,1,1,1,0,0,0,0,0,0,0,0,20.6,12,Mailed check,233.9,0
0,1,0,1,0,0,0,0,0,0,0,0,19.9,24,Mailed check,1363.45,0
0,0,0,1,0,0,0,0,0,1,1,1,70.9,1,Automatic,273.0,1
0,1,0,1,1,1,1,1,1,1,1,1,89.05,24,Automatic,6254.45,0
1,1,0,0,0,0,1,1,0,1,1,0,45.3,1,Electronic check,2651.2,1
0,1,1,1,0,0,0,0,0,0,0,0,20.4,1,Electronic check,321.4,0
0,1,0,1,0,1,0,1,1,1,1,1,84.25,12,Automatic,3539.25,0
0,1,0,1,1,0,0,1,1,1,1,0,104.4,1,Electronic check,242.8,1
0,1,0,1,0,0,1,1,1,0,1,0,81.95,24,Mailed check,1181.75,0
0,1,0,1,0,0,0,1,0,1,1,1,94.85,12,Automatic,5000.2,1
0,0,0,1,0,0,0,0,0,0,0,1,20.55,12,Automatic,654.55,0
0,1,0,1,1,0,0,0,0,0,0,0,24.7,1,Electronic check,780.2,0
1,0,0,1,1,0,0,0,0,1,1,0,74.45,1,Mailed check,1145.7,1
1,0,0,1,0,1,0,0,0,0,1,1,76.45,1,Automatic,503.6,1
0,1,1,1,1,0,1,1,0,1,1,1,105.35,1,Automatic,1559.25,0
0,1,0,1,0,0,0,0,0,1,0,1,20.55,12,Automatic,1252.0,0
0,0,0,0,0,0,1,0,0,0,1,1,29.95,1,Automatic,29.95,1
0,0,0,1,0,0,0,0,0,0,1,0,45.3,1,Mailed check,45.3,0
0,0,0,1,1,0,0,0,0,0,1,1,84.5,1,Automatic,662.65,1
0,1,1,1,0,1,0,1,0,0,1,1,74.75,12,Automatic,2453.3,0
0,0,0,1,0,0,1,1,0,1,1,0,79.25,1,Electronic check,1111.65,1
0,1,0,0,0,0,0,0,0,1,1,0,24.8,1,Electronic check,24.8,1
0,0,0,1,0,0,1,0,0,1,1,0,51.8,1,Mailed check,1023.85,0
0,0,0,0,0,0,0,0,1,0,1,0,30.4,1,Electronic check,82.15,0
0,0,0,1,0,0,0,0,0,0,0,0,19.65,12,Electronic check,244.8,0
0,1,0,1,1,0,1,0,0,0,1,1,56.6,1,Automatic,2379.1,0
0,1,1,1,1,1,0,0,1,1,1,1,71.9,12,Automatic,3173.35,0
0,1,0,1,0,0,1,1,0,1,1,0,91.0,1,Electronic check,531.0,1
0,1,1,1,0,0,0,0,0,0,0,1,19.75,24,Automatic,1375.4,0
0,1,1,1,1,1,1,1,0,0,1,1,109.7,24,Automatic,8129.3,0
0,1,1,1,0,0,0,0,0,0,0,1,19.3,24,Automatic,1192.7,0
0,1,0,1,0,1,1,0,1,1,1,0,96.55,1,Electronic check,1901.65,0
0,1,1,1,1,0,0,0,0,1,0,1,24.1,24,Automatic,587.4,0
0,0,0,1,1,0,1,1,1,1,1,0,111.35,1,Electronic check,6519.75,0
0,1,1,1,1,0,1,1,1,1,1,1,112.25,24,Automatic,8041.65,0
0,0,1,1,0,0,0,0,0,0,0,0,20.75,1,Mailed check,20.75,0
0,1,0,1,0,1,0,0,1,1,1,1,101.9,12,Automatic,2681.15,0
0,0,0,1,0,0,1,0,1,1,1,1,80.05,1,Automatic,1112.3,0
0,1,1,1,1,1,0,1,0,0,1,0,105.55,24,Electronic check,7405.5,0
0,0,1,1,0,0,0,0,0,1,1,1,78.3,1,Automatic,1033.95,0
0,0,0,1,0,0,0,0,0,0,1,1,68.85,1,Automatic,2958.95,0
0,0,0,1,0,0,1,0,1,1,1,1,79.95,12,Automatic,2684.85,0
0,1,1,0,0,1,1,1,1,1,1,1,55.45,24,Automatic,4179.2,0
0,0,0,1,0,0,0,0,0,0,1,0,79.9,1,Electronic check,79.9,1
0,0,0,1,0,1,0,1,1,1,1,0,106.6,1,Electronic check,1934.45,1
0,1,0,1,0,0,1,1,1,1,1,1,102.45,12,Automatic,6654.1,0
0,0,0,1,0,0,0,0,0,1,1,1,46.0,1,Automatic,84.5,1
0,0,0,0,0,0,0,0,0,0,1,0,25.25,1,Electronic check,25.25,0
0,0,1,1,0,0,0,0,0,0,0,0,19.75,24,Mailed check,1124.2,0
0,1,1,1,0,0,0,0,0,0,0,0,20.0,12,Electronic check,540.05,0
1,1,0,1,1,0,0,0,0,0,1,0,86.8,1,Electronic check,1975.85,0
0,1,0,0,0,1,1,1,0,1,1,1,58.75,1,Automatic,3437.45,0
0,1,1,0,0,1,1,1,1,0,1,1,45.25,24,Automatic,3139.8,0
0,1,0,0,0,1,1,1,1,1,1,1,56.6,24,Automatic,3789.2,0
0,1,1,1,1,0,1,1,1,1,1,1,84.2,24,Automatic,5324.5,0
0,0,0,1,0,0,0,0,0,1,1,1,80.0,1,Automatic,624.6,0
0,0,0,1,0,0,0,0,0,1,1,0,70.15,1,Electronic check,268.35,1
0,1,0,1,1,0,0,0,0,0,0,1,24.75,24,Automatic,1836.9,0
0,1,1,1,0,0,0,0,0,1,0,0,20.2,12,Electronic check,20.2,0
0,1,0,1,0,0,0,0,1,0,1,0,50.05,1,Mailed check,179.35,1
0,0,0,1,0,0,0,0,0,1,0,1,19.35,12,Automatic,219.35,0
0,0,0,0,0,1,0,0,0,1,1,0,50.6,12,Mailed check,1288.75,0
0,1,1,1,0,1,0,1,1,1,1,0,81.15,12,Mailed check,2545.75,0
0,1,0,1,0,0,0,0,0,0,1,0,55.2,1,Mailed check,55.2,1
0,0,0,1,1,0,0,0,1,1,1,1,89.9,1,Automatic,2723.15,0
0,1,1,1,1,1,1,0,1,1,1,1,85.3,24,Automatic,4107.25,0
0,0,0,1,1,1,1,0,1,1,1,1,108.0,24,Automatic,5760.65,0
0,0,0,1,0,1,1,0,1,1,1,1,93.5,1,Automatic,4747.5,0
0,0,0,1,0,1,0,0,0,1,1,0,84.6,1,Mailed check,84.6,1
0,0,0,1,0,0,0,0,0,0,0,1,20.25,24,Automatic,1566.9,0
0,0,0,1,1,0,0,0,0,0,0,0,25.15,1,Electronic check,702.0,0
0,0,0,1,1,0,1,0,0,1,1,0,54.4,1,Mailed check,114.1,1
0,0,0,0,0,0,0,0,1,1,1,0,29.6,24,Mailed check,299.05,0
0,1,0,1,1,0,0,0,0,1,1,0,73.15,1,Electronic check,1305.95,0
1,0,0,1,0,0,1,0,0,1,1,0,95.0,1,Electronic check,1120.3,1
0,0,0,1,0,0,0,0,0,0,0,0,19.75,24,Mailed check,284.35,0
0,0,0,1,1,0,1,1,1,0,1,1,86.6,24,Automatic,6350.5,0
0,0,0,1,1,0,1,1,1,0,1,1,109.2,24,Automatic,7878.3,0
0,1,1,1,0,1,0,0,1,1,1,1,74.7,12,Automatic,3187.65,0
1,1,0,1,0,1,1,1,0,0,1,0,94.4,1,Electronic check,6126.15,0
1,0,0,1,0,0,1,1,0,1,1,0,54.8,1,Electronic check,731.3,0
1,0,0,1,0,1,0,0,0,0,1,0,75.35,1,Electronic check,273.4,0
0,0,0,1,1,0,0,1,0,0,1,0,65.0,12,Mailed check,2531.8,0
1,0,0,1,0,0,1,0,0,1,1,0,74.4,1,Electronic check,1074.3,1
0,0,0,1,0,1,0,0,0,1,1,0,48.55,1,Mailed check,48.55,1
0,0,0,1,1,1,1,1,0,1,1,0,99.0,12,Electronic check,4298.45,0
0,1,0,1,0,1,1,1,0,1,1,0,93.5,12,Electronic check,4619.55,0
0,1,1,1,0,0,0,0,0,0,1,0,70.4,1,Electronic check,147.15,1
1,1,0,0,0,0,1,0,0,0,1,0,40.2,1,Electronic check,40.2,1
0,0,1,1,1,0,1,1,1,0,1,1,83.7,12,Automatic,2633.3,0
0,0,0,1,0,0,0,0,0,1,0,0,19.85,1,Mailed check,193.05,0
0,1,1,0,0,0,1,1,1,1,1,0,59.55,24,Electronic check,4103.9,0
0,1,1,1,1,1,1,1,1,0,1,1,115.1,24,Automatic,7008.15,0
0,0,0,1,1,1,1,1,1,0,1,1,114.35,12,Automatic,5791.1,0
0,1,0,1,0,0,0,0,0,1,1,1,44.6,1,Automatic,80.55,1
1,1,0,0,0,1,0,1,0,1,1,0,45.0,1,Electronic check,1228.65,0
1,0,0,0,0,0,0,1,0,1,1,0,41.15,1,Electronic check,132.2,1
1,0,0,1,1,0,1,1,0,1,1,0,106.9,1,Electronic check,1364.3,1
1,1,0,1,1,0,1,0,0,1,1,0,89.85,1,Electronic check,4925.35,0
0,0,0,0,0,1,1,0,1,1,1,1,49.85,24,Automatic,1520.1,0
0,1,0,1,1,1,1,1,1,0,1,0,113.3,12,Mailed check,5032.25,0
0,1,1,1,1,1,1,1,1,0,1,0,88.1,24,Mailed check,5526.75,0
0,0,0,1,1,0,0,0,0,0,0,1,24.9,24,Automatic,1195.25,0
1,0,0,1,0,1,1,0,1,1,1,0,105.0,1,Mailed check,2007.25,0
0,0,0,1,0,0,0,0,0,0,0,0,19.35,24,Mailed check,1099.6,1
0,1,0,1,1,0,0,0,0,1,0,1,24.25,24,Automatic,1732.95,0
1,0,0,1,0,0,0,0,1,1,1,0,94.45,1,Electronic check,1511.2,1
0,1,0,1,0,1,1,0,1,1,1,0,59.75,24,Electronic check,3450.15,0
0,0,0,0,0,0,0,0,0,0,1,1,24.8,1,Automatic,24.8,1
1,1,0,1,1,0,1,0,1,0,1,0,107.05,1,Electronic check,2172.05,0
0,0,0,1,0,0,0,0,0,0,1,0,70.6,1,Mailed check,70.6,1
0,1,0,1,1,0,1,0,1,1,1,0,85.4,1,Electronic check,401.1,1
0,1,0,1,1,0,1,1,0,1,1,0,105.05,1,Electronic check,5624.85,1
1,1,0,1,0,1,1,0,0,1,1,1,64.95,1,Automatic,1339.8,0
0,0,0,0,0,0,0,1,1,1,1,0,55.0,1,Electronic check,771.95,0
0,0,0,1,0,0,1,0,0,0,1,1,50.55,1,Automatic,244.75,0
0,0,0,1,0,1,1,0,0,0,1,0,55.15,1,Mailed check,322.9,0
0,0,0,1,0,0,1,0,0,0,1,0,51.2,1,Electronic check,498.25,0
0,0,1,1,1,0,0,0,0,0,0,0,25.4,1,Mailed check,25.4,0
0,0,0,1,1,1,0,0,0,0,1,0,54.45,1,Mailed check,3687.75,0
0,1,1,1,0,0,0,1,0,0,1,0,95.15,1,Mailed check,1779.95,1
0,0,0,1,1,0,0,0,0,1,1,1,76.0,12,Automatic,1783.6,0
0,0,0,1,0,0,0,0,0,1,1,0,44.35,1,Electronic check,927.15,0
0,1,0,1,0,0,0,0,0,0,1,0,70.0,1,Electronic check,70.0,1
1,0,0,1,0,0,1,0,0,1,1,0,74.5,1,Electronic check,606.55,1
0,0,0,1,0,0,0,0,0,1,1,1,44.85,1,Automatic,435.4,1
1,0,0,1,1,0,0,0,0,1,1,0,76.1,1,Electronic check,1712.7,1
0,0,0,1,0,1,1,1,0,0,1,0,61.2,12,Mailed check,2021.2,0
0,1,1,1,0,0,1,1,1,0,1,0,86.8,12,Mailed check,1940.8,0
1,0,0,1,0,0,0,0,0,1,1,0,89.35,1,Electronic check,567.8,0
0,0,0,1,0,0,0,0,0,0,0,0,19.7,1,Mailed check,220.35,0
0,0,0,1,0,0,0,0,0,0,0,0,20.25,1,Mailed check,20.25,0
0,1,1,1,0,0,0,1,0,0,1,0,76.05,24,Electronic check,5436.45,0
1,1,0,1,1,0,0,1,0,1,1,0,100.8,1,Electronic check,3437.5,0
0,1,1,1,1,0,0,1,0,1,1,0,74.55,1,Electronic check,3015.75,0
0,0,1,1,0,1,0,0,0,1,1,0,73.6,1,Mailed check,73.6,1
0,0,0,1,0,0,0,0,0,1,1,1,64.9,12,Automatic,1509.8,0
1,0,0,1,1,0,0,0,0,1,1,0,95.45,1,Electronic check,396.1,1
0,0,0,1,0,0,0,1,1,1,1,0,90.4,1,Electronic check,356.65,0
0,1,1,0,0,0,1,1,1,0,1,1,60.3,24,Automatic,4109.0,0
0,0,1,1,1,0,1,0,0,1,1,0,81.85,1,Mailed check,3141.7,0
0,1,1,1,1,0,0,0,0,0,0,0,24.8,24,Mailed check,1229.1,0
1,1,0,1,1,0,0,0,0,1,1,0,74.9,1,Electronic check,2303.35,1
0,1,1,1,0,0,0,1,1,0,1,0,75.55,24,Mailed check,2054.4,0
1,1,1,1,1,0,1,0,0,0,1,0,101.15,1,Electronic check,3741.85,0
0,0,1,1,1,1,0,1,0,1,1,1,78.75,12,Automatic,3682.45,0
0,0,0,1,0,0,0,0,0,1,0,1,19.25,1,Automatic,19.25,0
0,0,0,1,0,1,0,0,1,1,1,0,89.05,1,Electronic check,1886.25,0
0,0,0,1,1,1,1,1,1,0,1,1,115.05,24,Automatic,4895.1,0
1,1,0,1,0,0,0,0,0,1,1,0,69.35,1,Electronic check,341.6,0
0,0,0,1,0,0,0,0,0,1,1,0,80.6,1,Electronic check,415.55,1
0,1,1,1,1,1,1,0,1,0,1,1,110.05,12,Automatic,5686.4,0
0,0,0,1,0,0,0,0,0,1,0,1,19.9,24,Automatic,1355.1,0
0,1,1,1,0,1,1,0,1,0,1,1,80.3,12,Automatic,3058.65,1
1,1,0,1,0,0,0,1,0,1,1,0,93.15,1,Electronic check,2231.05,1
0,1,0,1,1,0,0,0,1,1,1,1,91.5,1,Automatic,3236.35,0
1,0,0,1,1,1,1,0,1,0,1,1,82.45,12,Automatic,4350.1,1
0,1,1,0,0,0,1,1,1,1,1,0,60.0,24,Electronic check,4264.0,0
0,0,0,1,0,0,0,0,0,1,1,0,44.8,1,Electronic check,44.8,0
0,1,1,1,0,1,0,0,0,0,1,0,48.6,12,Mailed check,422.3,0
0,0,0,0,0,1,1,0,1,1,1,1,60.05,24,Automatic,4176.7,0
0,1,0,1,1,0,1,0,1,1,1,1,102.7,1,Automatic,5138.1,0
