SeniorCity,Partner,Dependents,Service1,Service2,Security,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,InternetService,AutoPayment_flag,Charges,Contract_months,Contract_x_Charges,PaymentMethod_simple,Demand,Class_flag
1,0,0,1,1,0,1,0,0,1,1,0,90.25,1,90.25,Electronic check,3838.75,0
0,0,0,1,0,1,1,0,0,1,1,1,99.1,1,99.1,Automatic,1426.4,1
1,1,0,1,1,1,0,0,1,1,1,1,69.5,1,69.5,Automatic,1752.65,0
1,1,0,1,1,0,1,0,0,1,1,1,80.65,1,80.65,Automatic,633.3,1
1,1,1,1,0,1,1,1,1,1,1,1,74.85,12,898.1999999999999,Automatic,4456.35,0
1,0,0,1,1,0,0,0,0,1,1,0,95.45,1,95.45,Electronic check,1752.55,1
0,1,1,1,1,1,0,0,0,1,1,1,99.65,12,1195.8000000000002,Automatic,6311.2,0
1,1,1,1,1,0,1,1,1,1,1,0,108.45,12,1301.4,Electronic check,7076.35,0
0,1,1,1,1,0,0,0,0,0,0,1,24.95,24,598.8,Automatic,894.3,0
0,0,0,1,1,0,0,1,1,1,1,1,107.5,24,2580.0,Automatic,7853.7,0
0,1,0,1,1,0,0,1,0,1,1,0,100.5,1,100.5,Electronic check,4707.1,0
0,0,0,1,1,0,1,0,0,1,1,1,89.9,1,89.9,Automatic,5450.7,0
0,1,0,0,0,1,1,1,0,0,1,1,42.1,24,1010.4000000000001,Automatic,2962.0,0
0,1,1,1,0,0,0,1,1,1,1,1,54.4,12,652.8,Automatic,957.1,0
0,0,0,1,1,0,0,0,0,0,1,0,94.4,1,94.4,Electronic check,857.25,1
0,0,0,1,0,0,1,0,1,1,1,0,75.3,1,75.3,Electronic check,244.1,0
0,1,0,1,1,0,1,0,0,1,1,0,78.9,12,946.8000000000001,Electronic check,3650.35,0
0,0,0,1,0,0,1,1,1,0,1,0,79.2,24,1900.8000000000002,Mailed check,2497.2,0
0,1,1,1,0,0,0,0,0,0,0,1,20.15,24,483.59999999999997,Automatic,930.9,0
0,0,0,1,0,1,0,1,0,1,1,0,79.85,1,79.85,Mailed check,887.35,0
0,0,0,1,0,0,0,0,1,0,1,0,49.05,1,49.05,Mailed check,49.05,0
0,1,1,1,0,0,0,0,0,1,0,0,20.4,12,244.79999999999998,Electronic check,1090.65,0
1,1,1,1,1,1,0,1,1,1,1,1,111.6,24,2678.3999999999996,Automatic,7099.0,0
0,1,1,1,1,0,0,0,0,1,0,1,24.25,24,582.0,Automatic,1424.6,0
0,0,1,1,0,1,0,0,1,1,1,1,64.5,1,64.5,Automatic,177.4,0
1,0,0,1,1,1,1,1,0,0,1,0,110.5,12,1326.0,Electronic check,6139.5,0
0,0,0,1,0,0,0,0,0,0,1,1,55.65,12,667.8,Automatic,2688.85,0
0,1,1,1,0,1,1,0,0,0,1,0,54.65,1,54.65,Mailed check,482.25,0
1,0,0,1,0,1,1,0,0,1,1,0,74.75,1,74.75,Electronic check,2111.3,0
0,1,1,1,1,0,0,0,0,1,0,1,25.9,12,310.79999999999995,Automatic,1216.6,0
0,0,1,1,0,0,0,0,0,1,1,0,79.35,1,79.35,Electronic check,79.35,1
0,1,1,0,0,1,0,0,0,0,1,0,50.55,1,50.55,Electronic check,565.35,0
0,1,0,1,0,0,0,1,0,1,1,1,75.15,1,75.15,Automatic,496.9,1
0,0,0,1,0,0,1,1,1,1,1,1,103.8,1,103.8,Automatic,4327.5,0
0,1,0,1,0,0,0,0,0,1,0,1,20.15,24,483.59999999999997,Automatic,973.35,0
0,0,0,1,1,0,1,0,0,1,1,1,99.3,1,99.3,Automatic,918.75,0
0,1,0,1,0,1,0,0,0,1,1,1,62.15,12,745.8,Automatic,2215.45,0
0,1,1,1,0,0,0,0,0,0,0,1,20.65,24,495.59999999999997,Automatic,1057.0,0
0,1,1,1,0,0,0,0,0,1,0,0,19.95,24,478.79999999999995,Mailed check,927.1,0
0,1,0,0,0,0,0,0,0,0,1,0,33.75,1,33.75,Mailed check,1009.25,0
0,1,1,1,0,0,1,1,0,0,1,1,82.05,1,82.05,Automatic,2570.2,0
1,0,0,1,0,0,0,0,1,0,1,0,74.7,1,74.7,Electronic check,74.7,0
0,1,1,1,1,1,0,1,1,1,1,0,84.0,24,2016.0,Mailed check,5714.25,0
0,0,0,1,1,1,1,1,0,1,1,1,111.05,1,111.05,Automatic,7107.0,0
0,0,0,1,1,0,1,1,0,1,1,1,100.9,24,2421.6000000000004,Automatic,7459.05,0
0,0,0,1,1,1,0,0,0,1,1,0,78.95,1,78.95,Electronic check,927.35,1
0,1,1,1,1,1,1,0,1,1,1,1,66.85,12,802.1999999999999,Automatic,4748.7,0
0,0,0,1,0,0,0,0,0,0,0,0,21.05,1,21.05,Mailed check,113.85,1
0,0,0,1,0,0,0,0,0,0,0,1,21.0,24,504.0,Automatic,1107.2,0
1,1,0,1,0,0,1,1,0,1,1,0,98.5,1,98.5,Electronic check,2514.5,1
0,0,0,1,0,0,0,0,0,0,0,0,20.2,1,20.2,Mailed check,20.2,0
0,1,1,1,0,0,0,0,0,0,0,0,19.45,1,19.45,Electronic check,19.45,0
0,0,0,1,1,0,0,1,1,0,1,1,95.0,12,1140.0,Automatic,3605.6,0
1,1,0,0,0,0,1,1,0,0,1,1,45.55,12,546.5999999999999,Automatic,3027.25,0
0,1,0,1,1,0,1,1,1,1,1,1,110.0,24,2640.0,Automatic,7611.85,1
0,0,0,0,0,0,0,0,0,0,1,0,24.3,1,24.3,Mailed check,100.2,0
0,1,1,1,1,1,1,0,0,1,1,0,104.15,12,1249.8000000000002,Electronic check,7303.05,0
0,0,0,0,0,1,0,0,0,0,1,0,30.15,12,361.79999999999995,Mailed check,927.65,0
0,0,0,1,1,0,0,0,0,0,1,0,94.35,12,1132.1999999999998,Mailed check,3921.3,0
0,1,1,1,0,0,0,0,0,0,0,1,19.4,24,465.59999999999997,Automatic,1363.25,0
0,1,0,1,1,1,1,0,0,1,1,0,96.75,1,96.75,Electronic check,5238.9,1
0,0,0,1,0,1,0,1,1,0,1,1,57.95,12,695.4000000000001,Automatic,3042.25,0
0,0,0,1,0,0,1,1,0,1,1,0,91.65,1,91.65,Electronic check,3954.1,0
1,1,0,1,1,0,0,0,0,1,1,0,76.5,1,76.5,Electronic check,2868.15,1
0,1,1,0,0,0,1,0,1,1,1,0,54.6,24,1310.4,Electronic check,3423.5,0
0,1,1,1,0,1,1,0,0,0,1,0,89.85,1,89.85,Electronic check,248.4,0
0,0,0,0,0,1,0,0,0,0,1,1,31.05,24,745.2,Automatic,1126.35,0
0,1,1,1,1,1,0,0,0,1,1,0,100.25,1,100.25,Electronic check,1064.65,1
0,0,0,1,0,0,0,0,0,0,0,0,20.65,24,495.59999999999997,Mailed check,835.15,0
0,1,1,1,1,0,1,0,1,1,1,1,85.2,1,85.2,Automatic,2151.6,0
0,1,1,1,1,0,0,1,0,1,1,1,99.8,12,1197.6,Automatic,5515.45,0
0,0,0,1,0,0,0,0,0,0,0,0,20.7,1,20.7,Mailed check,112.75,0
0,0,0,1,1,0,0,0,0,1,1,0,74.4,1,74.4,Electronic check,229.55,1
0,1,1,1,0,1,0,0,0,0,1,0,50.7,1,50.7,Mailed check,350.35,0
0,1,1,1,0,0,0,0,0,0,0,0,20.85,1,20.85,Mailed check,62.9,0
0,0,0,1,0,1,0,0,1,1,1,0,88.95,24,2134.8,Electronic check,3027.65,0
1,0,0,1,1,0,0,1,0,1,1,0,78.05,1,78.05,Electronic check,2135.5,1
0,1,0,1,1,0,0,0,0,1,0,1,23.55,24,565.2,Automatic,1723.95,0
0,0,0,1,0,0,0,0,0,0,0,0,19.75,1,19.75,Mailed check,19.75,0
1,0,0,0,0,1,1,0,0,1,1,0,56.45,12,677.4000000000001,Electronic check,3985.35,0
0,0,0,1,1,0,0,0,0,1,1,0,85.95,1,85.95,Electronic check,1215.65,0
0,1,1,0,0,1,1,1,0,1,1,1,58.6,1,58.6,Automatic,1502.65,1
0,0,0,1,0,0,0,0,1,0,1,1,50.55,24,1213.1999999999998,Automatic,3260.1,0
0,0,0,0,0,0,0,0,0,1,1,0,35.45,1,35.45,Electronic check,35.45,1
0,0,0,1,0,0,0,0,0,0,1,0,44.35,1,44.35,Electronic check,81.25,1
0,0,0,1,1,0,0,0,0,1,0,1,25.7,24,616.8,Automatic,1188.2,0
0,0,0,1,0,1,0,0,0,1,1,1,75.0,1,75.0,Automatic,1778.5,0
0,1,1,1,0,0,0,0,0,0,0,0,20.2,24,484.79999999999995,Mailed check,1277.75,0
0,0,1,1,0,0,0,0,0,1,0,0,19.6,24,470.40000000000003,Mailed check,1170.55,0
1,1,0,1,0,0,0,0,0,1,1,0,70.45,1,70.45,Mailed check,70.45,1
1,1,1,1,1,1,1,1,1,1,1,1,88.05,24,2113.2,Automatic,6425.65,0
0,0,0,1,1,1,0,0,1,0,1,0,71.15,1,71.15,Electronic check,563.65,1
0,1,0,1,1,0,1,0,0,1,1,1,101.05,24,2425.2,Automatic,5971.25,0
0,0,0,1,1,1,1,0,0,1,1,1,84.3,12,1011.5999999999999,Automatic,5289.05,0
1,1,0,1,1,0,0,0,0,0,0,1,23.95,24,574.8,Automatic,1756.2,0
0,1,1,1,1,1,1,0,1,1,1,1,99.05,24,2377.2,Automatic,6416.7,0
0,0,0,1,0,0,0,0,0,0,0,0,19.6,12,235.20000000000002,Mailed check,61.35,0
0,0,0,1,0,0,0,0,0,1,1,0,45.65,1,45.65,Electronic check,45.65,1
0,0,1,1,0,0,1,1,0,0,1,1,64.5,12,774.0,Automatic,1929.95,0
0,1,1,1,0,0,1,1,1,1,1,0,69.5,1,69.5,Mailed check,1071.4,0
0,1,1,1,0,0,0,0,1,1,1,0,68.55,1,68.55,Electronic check,564.35,0
0,0,0,1,1,0,0,0,0,0,1,0,95.0,1,95.0,Mailed check,655.5,1
0,1,1,1,1,1,1,1,0,1,1,1,108.15,12,1297.8000000000002,Automatic,7930.55,0
0,1,1,1,0,1,1,1,1,0,1,0,86.1,24,2066.3999999999996,Electronic check,5215.25,0
0,1,1,1,0,0,0,0,0,0,0,0,19.7,1,19.7,Mailed check,113.5,0
0,1,1,1,0,0,0,0,0,1,1,1,80.9,1,80.9,Automatic,1152.8,0
0,0,0,1,1,0,0,0,0,1,1,1,84.15,1,84.15,Automatic,1821.95,0
0,1,1,1,0,0,0,0,0,0,0,0,20.15,12,241.79999999999998,Mailed check,419.9,0
0,1,1,1,0,1,0,1,0,0,1,0,64.25,24,1542.0,Mailed check,1024.0,0
0,0,0,1,1,0,0,0,0,0,0,1,25.7,24,616.8,Automatic,251.6,0
0,0,1,1,0,1,1,0,0,1,1,0,56.0,1,56.0,Electronic check,764.55,0
0,1,0,1,1,1,0,0,0,0,1,0,82.4,1,82.4,Electronic check,1592.35,1
0,0,0,1,0,0,0,0,0,1,1,0,69.7,1,69.7,Electronic check,135.2,0
0,0,0,1,1,0,1,1,1,1,1,1,73.9,24,1773.6000000000001,Automatic,3958.25,0
0,1,1,1,0,0,0,0,0,0,0,0,20.6,12,247.20000000000002,Mailed check,233.9,0
0,1,0,1,0,0,0,0,0,0,0,0,19.9,24,477.59999999999997,Mailed check,1363.45,0
0,0,0,1,0,0,0,0,0,1,1,1,70.9,1,70.9,Automatic,273.0,1
0,1,0,1,1,1,1,1,1,1,1,1,89.05,24,2137.2,Automatic,6254.45,0
1,1,0,0,0,0,1,1,0,1,1,0,45.3,1,45.3,Electronic check,2651.2,1
0,1,1,1,0,0,0,0,0,0,0,0,20.4,1,20.4,Electronic check,321.4,0
0,1,0,1,0,1,0,1,1,1,1,1,84.25,12,1011.0,Automatic,3539.25,0
0,1,0,1,1,0,0,1,1,1,1,0,104.4,1,104.4,Electronic check,242.8,1
0,1,0,1,0,0,1,1,1,0,1,0,81.95,24,1966.8000000000002,Mailed check,1181.75,0
0,1,0,1,0,0,0,1,0,1,1,1,94.85,12,1138.1999999999998,Automatic,5000.2,1
0,0,0,1,0,0,0,0,0,0,0,1,20.55,12,246.60000000000002,Automatic,654.55,0
0,1,0,1,1,0,0,0,0,0,0,0,24.7,1,24.7,Electronic check,780.2,0
1,0,0,1,1,0,0,0,0,1,1,0,74.45,1,74.45,Mailed check,1145.7,1
1,0,0,1,0,1,0,0,0,0,1,1,76.45,1,76.45,Automatic,503.6,1
0,1,1,1,1,0,1,1,0,1,1,1,105.35,1,105.35,Automatic,1559.25,0
0,1,0,1,0,0,0,0,0,1,0,1,20.55,12,246.60000000000002,Automatic,1252.0,0
0,0,0,0,0,0,1,0,0,0,1,1,29.95,1,29.95,Automatic,29.95,1
0,0,0,1,0,0,0,0,0,0,1,0,45.3,1,45.3,Mailed check,45.3,0
0,0,0,1,1,0,0,0,0,0,1,1,84.5,1,84.5,Automatic,662.65,1
0,1,1,1,0,1,0,1,0,0,1,1,74.75,12,897.0,Automatic,2453.3,0
0,0,0,1,0,0,1,1,0,1,1,0,79.25,1,79.25,Electronic check,1111.65,1
0,1,0,0,0,0,0,0,0,1,1,0,24.8,1,24.8,Electronic check,24.8,1
0,0,0,1,0,0,1,0,0,1,1,0,51.8,1,51.8,Mailed check,1023.85,0
0,0,0,0,0,0,0,0,1,0,1,0,30.4,1,30.4,Electronic check,82.15,0
0,0,0,1,0,0,0,0,0,0,0,0,19.65,12,235.79999999999998,Electronic check,244.8,0
0,1,0,1,1,0,1,0,0,0,1,1,56.6,1,56.6,Automatic,2379.1,0
0,1,1,1,1,1,0,0,1,1,1,1,71.9,12,862.8000000000001,Automatic,3173.35,0
0,1,0,1,0,0,1,1,0,1,1,0,91.0,1,91.0,Electronic check,531.0,1
0,1,1,1,0,0,0,0,0,0,0,1,19.75,24,474.0,Automatic,1375.4,0
0,1,1,1,1,1,1,1,0,0,1,1,109.7,24,2632.8,Automatic,8129.3,0
0,1,1,1,0,0,0,0,0,0,0,1,19.3,24,463.20000000000005,Automatic,1192.7,0
0,1,0,1,0,1,1,0,1,1,1,0,96.55,1,96.55,Electronic check,1901.65,0
0,1,1,1,1,0,0,0,0,1,0,1,24.1,24,578.4000000000001,Automatic,587.4,0
0,0,0,1,1,0,1,1,1,1,1,0,111.35,1,111.35,Electronic check,6519.75,0
0,1,1,1,1,0,1,1,1,1,1,1,112.25,24,2694.0,Automatic,8041.65,0
0,0,1,1,0,0,0,0,0,0,0,0,20.75,1,20.75,Mailed check,20.75,0
0,1,0,1,0,1,0,0,1,1,1,1,101.9,12,1222.8000000000002,Automatic,2681.15,0
0,0,0,1,0,0,1,0,1,1,1,1,80.05,1,80.05,Automatic,1112.3,0
0,1,1,1,1,1,0,1,0,0,1,0,105.55,24,2533.2,Electronic check,7405.5,0
0,0,1,1,0,0,0,0,0,1,1,1,78.3,1,78.3,Automatic,1033.95,0
0,0,0,1,0,0,0,0,0,0,1,1,68.85,1,68.85,Automatic,2958.95,0
0,0,0,1,0,0,1,0,1,1,1,1,79.95,12,959.4000000000001,Automatic,2684.85,0
0,1,1,0,0,1,1,1,1,1,1,1,55.45,24,1330.8000000000002,Automatic,4179.2,0
0,0,0,1,0,0,0,0,0,0,1,0,79.9,1,79.9,Electronic check,79.9,1
0,0,0,1,0,1,0,1,1,1,1,0,106.6,1,106.6,Electronic check,1934.45,1
0,1,0,1,0,0,1,1,1,1,1,1,102.45,12,1229.4,Automatic,6654.1,0
0,0,0,1,0,0,0,0,0,1,1,1,46.0,1,46.0,Automatic,84.5,1
0,0,0,0,0,0,0,0,0,0,1,0,25.25,1,25.25,Electronic check,25.25,0
0,0,1,1,0,0,0,0,0,0,0,0,19.75,24,474.0,Mailed check,1124.2,0
0,1,1,1,0,0,0,0,0,0,0,0,20.0,12,240.0,Electronic check,540.05,0
1,1,0,1,1,0,0,0,0,0,1,0,86.8,1,86.8,Electronic check,1975.85,0
0,1,0,0,0,1,1,1,0,1,1,1,58.75,1,58.75,Automatic,3437.45,0
0,1,1,0,0,1,1,1,1,0,1,1,45.25,24,1086.0,Automatic,3139.8,0
0,1,0,0,0,1,1,1,1,1,1,1,56.6,24,1358.4,Automatic,3789.2,0
0,1,1,1,1,0,1,1,1,1,1,1,84.2,24,2020.8000000000002,Automatic,5324.5,0
0,0,0,1,0,0,0,0,0,1,1,1,80.0,1,80.0,Automatic,624.6,0
0,0,0,1,0,0,0,0,0,1,1,0,70.15,1,70.15,Electronic check,268.35,1
0,1,0,1,1,0,0,0,0,0,0,1,24.75,24,594.0,Automatic,1836.9,0
0,1,1,1,0,0,0,0,0,1,0,0,20.2,12,242.39999999999998,Electronic check,20.2,0
0,1,0,1,0,0,0,0,1,0,1,0,50.05,1,50.05,Mailed check,179.35,1
0,0,0,1,0,0,0,0,0,1,0,1,19.35,12,232.20000000000002,Automatic,219.35,0
0,0,0,0,0,1,0,0,0,1,1,0,50.6,12,607.2,Mailed check,1288.75,0
0,1,1,1,0,1,0,1,1,1,1,0,81.15,12,973.8000000000001,Mailed check,2545.75,0
0,1,0,1,0,0,0,0,0,0,1,0,55.2,1,55.2,Mailed check,55.2,1
0,0,0,1,1,0,0,0,1,1,1,1,89.9,1,89.9,Automatic,2723.15,0
0,1,1,1,1,1,1,0,1,1,1,1,85.3,24,2047.1999999999998,Automatic,4107.25,0
0,0,0,1,1,1,1,0,1,1,1,1,108.0,24,2592.0,Automatic,5760.65,0
0,0,0,1,0,1,1,0,1,1,1,1,93.5,1,93.5,Automatic,4747.5,0
0,0,0,1,0,1,0,0,0,1,1,0,84.6,1,84.6,Mailed check,84.6,1
0,0,0,1,0,0,0,0,0,0,0,1,20.25,24,486.0,Automatic,1566.9,0
0,0,0,1,1,0,0,0,0,0,0,0,25.15,1,25.15,Electronic check,702.0,0
0,0,0,1,1,0,1,0,0,1,1,0,54.4,1,54.4,Mailed check,114.1,1
0,0,0,0,0,0,0,0,1,1,1,0,29.6,24,710.4000000000001,Mailed check,299.05,0
0,1,0,1,1,0,0,0,0,1,1,0,73.15,1,73.15,Electronic check,1305.95,0
1,0,0,1,0,0,1,0,0,1,1,0,95.0,1,95.0,Electronic check,1120.3,1
0,0,0,1,0,0,0,0,0,0,0,0,19.75,24,474.0,Mailed check,284.35,0
0,0,0,1,1,0,1,1,1,0,1,1,86.6,24,2078.3999999999996,Automatic,6350.5,0
0,0,0,1,1,0,1,1,1,0,1,1,109.2,24,2620.8,Automatic,7878.3,0
0,1,1,1,0,1,0,0,1,1,1,1,74.7,12,896.4000000000001,Automatic,3187.65,0
1,1,0,1,0,1,1,1,0,0,1,0,94.4,1,94.4,Electronic check,6126.15,0
1,0,0,1,0,0,1,1,0,1,1,0,54.8,1,54.8,Electronic check,731.3,0
1,0,0,1,0,1,0,0,0,0,1,0,75.35,1,75.35,Electronic check,273.4,0
0,0,0,1,1,0,0,1,0,0,1,0,65.0,12,780.0,Mailed check,2531.8,0
1,0,0,1,0,0,1,0,0,1,1,0,74.4,1,74.4,Electronic check,1074.3,1
0,0,0,1,0,1,0,0,0,1,1,0,48.55,1,48.55,Mailed check,48.55,1
0,0,0,1,1,1,1,1,0,1,1,0,99.0,12,1188.0,Electronic check,4298.45,0
0,1,0,1,0,1,1,1,0,1,1,0,93.5,12,1122.0,Electronic check,4619.55,0
0,1,1,1,0,0,0,0,0,0,1,0,70.4,1,70.4,Electronic check,147.15,1
1,1,0,0,0,0,1,0,0,0,1,0,40.2,1,40.2,Electronic check,40.2,1
0,0,1,1,1,0,1,1,1,0,1,1,83.7,12,1004.4000000000001,Automatic,2633.3,0
0,0,0,1,0,0,0,0,0,1,0,0,19.85,1,19.85,Mailed check,193.05,0
0,1,1,0,0,0,1,1,1,1,1,0,59.55,24,1429.1999999999998,Electronic check,4103.9,0
0,1,1,1,1,1,1,1,1,0,1,1,115.1,24,2762.3999999999996,Automatic,7008.15,0
0,0,0,1,1,1,1,1,1,0,1,1,114.35,12,1372.1999999999998,Automatic,5791.1,0
0,1,0,1,0,0,0,0,0,1,1,1,44.6,1,44.6,Automatic,80.55,1
1,1,0,0,0,1,0,1,0,1,1,0,45.0,1,45.0,Electronic check,1228.65,0
1,0,0,0,0,0,0,1,0,1,1,0,41.15,1,41.15,Electronic check,132.2,1
1,0,0,1,1,0,1,1,0,1,1,0,106.9,1,106.9,Electronic check,1364.3,1
1,1,0,1,1,0,1,0,0,1,1,0,89.85,1,89.85,Electronic check,4925.35,0
0,0,0,0,0,1,1,0,1,1,1,1,49.85,24,1196.4,Automatic,1520.1,0
0,1,0,1,1,1,1,1,1,0,1,0,113.3,12,1359.6,Mailed check,5032.25,0
0,1,1,1,1,1,1,1,1,0,1,0,88.1,24,2114.3999999999996,Mailed check,5526.75,0
0,0,0,1,1,0,0,0,0,0,0,1,24.9,24,597.5999999999999,Automatic,1195.25,0
1,0,0,1,0,1,1,0,1,1,1,0,105.0,1,105.0,Mailed check,2007.25,0
0,0,0,1,0,0,0,0,0,0,0,0,19.35,24,464.40000000000003,Mailed check,1099.6,1
0,1,0,1,1,0,0,0,0,1,0,1,24.25,24,582.0,Automatic,1732.95,0
1,0,0,1,0,0,0,0,1,1,1,0,94.45,1,94.45,Electronic check,1511.2,1
0,1,0,1,0,1,1,0,1,1,1,0,59.75,24,1434.0,Electronic check,3450.15,0
0,0,0,0,0,0,0,0,0,0,1,1,24.8,1,24.8,Automatic,24.8,1
1,1,0,1,1,0,1,0,1,0,1,0,107.05,1,107.05,Electronic check,2172.05,0
0,0,0,1,0,0,0,0,0,0,1,0,70.6,1,70.6,Mailed check,70.6,1
0,1,0,1,1,0,1,0,1,1,1,0,85.4,1,85.4,Electronic check,401.1,1
0,1,0,1,1,0,1,1,0,1,1,0,105.05,1,105.05,Electronic check,5624.85,1
1,1,0,1,0,1,1,0,0,1,1,1,64.95,1,64.95,Automatic,1339.8,0
0,0,0,0,0,0,0,1,1,1,1,0,55.0,1,55.0,Electronic check,771.95,0
0,0,0,1,0,0,1,0,0,0,1,1,50.55,1,50.55,Automatic,244.75,0
0,0,0,1,0,1,1,0,0,0,1,0,55.15,1,55.15,Mailed check,322.9,0
0,0,0,1,0,0,1,0,0,0,1,0,51.2,1,51.2,Electronic check,498.25,0
0,0,1,1,1,0,0,0,0,0,0,0,25.4,1,25.4,Mailed check,25.4,0
0,0,0,1,1,1,0,0,0,0,1,0,54.45,1,54.45,Mailed check,3687.75,0
0,1,1,1,0,0,0,1,0,0,1,0,95.15,1,95.15,Mailed check,1779.95,1
0,0,0,1,1,0,0,0,0,1,1,1,76.0,12,912.0,Automatic,1783.6,0
0,0,0,1,0,0,0,0,0,1,1,0,44.35,1,44.35,Electronic check,927.15,0
0,1,0,1,0,0,0,0,0,0,1,0,70.0,1,70.0,Electronic check,70.0,1
1,0,0,1,0,0,1,0,0,1,1,0,74.5,1,74.5,Electronic check,606.55,1
0,0,0,1,0,0,0,0,0,1,1,1,44.85,1,44.85,Automatic,435.4,1
